"Date";"Region";"County";"Market";"Latitude";"Longitude";"Category";"Commodity";"Unit";"Priceflag";"PriceType";"Price";"Year"
"2020-01-15 00:00:00";"Coast";"Kilifi";"Kilifi";-3.6301;39.85113;"pulses and nuts";"Beans (dry)";"KG";"actual";"Retail";107.0;2020
"2020-01-15 00:00:00";"Coast";"Mombasa";"Mombasa";-4.05;39.666667;"cereals and tubers";"Maize";"KG";"actual";"Wholesale";37.1;2020
"2020-01-15 00:00:00";"Coast";"Mombasa";"Mombasa";-4.05;39.666667;"pulses and nuts";"Beans (dry)";"90 KG";"actual";"Wholesale";8250.0;2020
"2020-01-15 00:00:00";"Eastern";"Kitui";"Kitui";-1.366667;38.016667;"cereals and tubers";"Sorghum";"90 KG";"actual";"Wholesale";5925.0;2020
"2020-01-15 00:00:00";"Nairobi";"Nairobi";"Nairobi";-1.283333;36.816667;"cereals and tubers";"Maize";"KG";"actual";"Wholesale";36.85;2020
"2020-01-15 00:00:00";"Nairobi";"Nairobi";"Nairobi";-1.283333;36.816667;"cereals and tubers";"Sorghum";"90 KG";"actual";"Wholesale";5300.0;2020
"2020-01-15 00:00:00";"Nairobi";"Nairobi";"Nairobi";-1.283333;36.816667;"oil and fats";"Oil (vegetable)";"L";"actual";"Retail";195.0;2020
"2020-01-15 00:00:00";"Nairobi";"Nairobi";"Nairobi";-1.283333;36.816667;"pulses and nuts";"Beans (dry)";"90 KG";"actual";"Wholesale";8488.0;2020
"2020-01-15 00:00:00";"Rift Valley";"Baringo";"Marigat (Baringo)";0.4647;35.96007;"pulses and nuts";"Beans (dry)";"KG";"actual";"Retail";124.0;2020
"2020-01-15 00:00:00";"Rift Valley";"Kajiado";"Kajiado";-1.84153;36.7913;"pulses and nuts";"Beans (dry)";"KG";"actual";"Retail";91.0;2020
"2020-01-15 00:00:00";"Rift Valley";"Nakuru";"Nakuru";-0.28296;36.0744;"cereals and tubers";"Maize";"KG";"actual";"Wholesale";31.02;2020
"2020-01-15 00:00:00";"Rift Valley";"Nakuru";"Nakuru";-0.28296;36.0744;"cereals and tubers";"Potatoes (Irish)";"50 KG";"actual";"Wholesale";2500.0;2020
"2020-01-15 00:00:00";"Rift Valley";"Nakuru";"Nakuru";-0.28296;36.0744;"cereals and tubers";"Sorghum";"90 KG";"actual";"Wholesale";3556.25;2020
"2020-01-15 00:00:00";"Rift Valley";"Nakuru";"Nakuru";-0.28296;36.0744;"pulses and nuts";"Beans (dry)";"90 KG";"actual";"Wholesale";5281.25;2020
"2020-01-15 00:00:00";"Rift Valley";"Uasin Gishu";"Eldoret town (Uasin Gishu)";0.516667;35.283333;"cereals and tubers";"Potatoes (Irish)";"50 KG";"actual";"Wholesale";1800.0;2020
"2020-02-15 00:00:00";"Coast";"Kilifi";"Kilifi";-3.6301;39.85113;"pulses and nuts";"Beans (dry)";"KG";"actual";"Retail";103.5;2020
"2020-02-15 00:00:00";"Coast";"Mombasa";"Mombasa";-4.05;39.666667;"cereals and tubers";"Maize";"KG";"actual";"Wholesale";34.95;2020
